Date,Color,Breed,Sex,State,Name,DateCreated
2001-04-06,Black & Tan,Shep (pup),F,Matched,Pattison,2001-04-06
2001-04-06,Black,Standard Poodle,M,Matched,Quigley,2001-04-06
2001-04-06,Black,Sharpei,F,Lost,Maggie,2001-04-06
2001-04-07,Black & White,Border Collie,F,Matched,No Name,2001-04-07
2001-04-08,Black & Tan,Rottweiler X,F,Matched,Raja,2001-04-08
2001-04-09,Tan,Pekingese,F,Found,No Name,2001-04-09
2001-04-09,Black,Lab X,F,Lost,Sasha,2001-04-09
2001-04-09,Black & White,Border Collie,M,Found,No Name,2001-04-09
2001-04-10,Tan,Pomeranian,M/N,Found,No Name,2001-04-10
2001-04-10,Black & White,Cat,,Lost,Cheeky,2001-04-10
2001-04-11,Black & White,English Pointer,M/N,Lost,Monty,2001-04-11
2001-04-11,Black,Chow,M,Matched,Noel,2001-04-11
2001-04-11,Tan & White,Jack Russell,M/N,Found,No Name,2001-04-11
2001-04-11,Blonde,Cocker Spaniel,,Found,No Name,2001-04-11
2001-04-12,Black & White,Mala X Shep,M/N,Matched,Ten Zing,2001-04-12
2001-04-12,Black & Tan,Shep (pup),F,Lost,Tatum,2001-04-12
2001-04-12,Golden,Retriever,M/N,Matched,Taylor,2001-04-12
2001-04-14,Black & White,Border Collie,F/S,Matched,Poker,2001-04-14
2001-04-14,Tan With Black Stripe Down Bac,Chihuahua X,F/S,Matched,Tica,2001-04-14
2001-04-14,Black & Tan,Rotty X Husky,M/N,Lost,Tex,2001-04-14
2001-04-14,Black & Tan,Shep X Lab,M/N,Lost,Mowgli,2001-04-14
2001-04-15,Gold,Lab,M/N,Lost,Max,2001-04-15
2001-04-15,Black & Brindle,Lab X,M,Lost,Austin,2001-04-15
2001-04-16,Black & White,Lab X,F/S,Found,Mercedes,2001-04-16
2001-04-16,Black,Lab X Retriever,F/S,Lost,Marley,2001-04-16
2001-04-16,Black & Tan,Rotty,F,Lost,Sheba,2001-04-17
2001-04-17,Black & Tan,Shep X Husky,M,Matched,Duke,2001-04-17
2001-04-18,Brindle,Pit X,M,Lost,Chief,2001-04-18
2001-04-18,White,Shep X Husky,M/N,Lost,Blizzard,2001-04-18
2001-04-18,Black & Red,Shiba Inu,F/S,Lost,Keiko,2001-04-18
2001-04-14,Black & Tan,Rotty,M/N,Lost,Brack,2001-04-18
2001-04-19,Golden,Labrador,M/N,Matched,No Name,2001-04-19
2001-04-19,Black & White,Husky,F/S,Lost,Mauska,2001-04-19
2001-04-19,Brown,Smooth Short Haired Dog,F/S,Lost,Daisy,2001-04-20
2001-04-19,Golden,Lab,M/N,Matched,Sam,2001-04-20
2001-04-20,Black & Tan,Shep,F/S,Lost,Kiera,2001-04-20
2001-04-19,Black & Tan,Rotty,F/S,Matched,Kayla,2001-04-20
2001-04-19,Black & Gold,Lab X Pit,M/N,Lost,Rex,2001-04-20
2001-04-20,Black & Tan,Shep X Rotty,F/S,Lost,Keisha,2001-04-20
2001-04-20,Brindle,Pitbull X,M,Lost,Essence,2001-04-20
2001-04-20,Black,Lab,F/S,Lost,Samantha,2001-04-20
2001-04-20,Black & Tan,Terrier X Small,M,Found,No Name,2001-04-20
2001-04-21,Tan & White,Husky X,F/S,Lost,Simmy,2001-04-22
2001-04-22,Red,Husky,M/N,Matched,Smokey,2001-04-22
2001-04-22,Black,Pit X,M/N,Lost,Rex,2001-04-22
2001-04-21,White,Maltese Terrier,M/N,Lost,Rascal,2001-04-22
2001-04-21,Tri,Bassett,F/S,Lost,Matilda,2001-04-22
2001-04-22,Black & Tan,Rotty X Lab,M,Lost,Rush,2001-04-22
2001-04-23,Black & Tan,Shep X,F,Found,No Name,2001-04-23
2001-04-17,Black & Tan & White,Shep X,M/N,Lost,Homer,2001-04-23
2001-04-23,Dark Grey,Min Schnauzer,F,Matched,Soso,2001-04-23
2001-04-24,Black,Sharpei,F,Lost,Kayla,2001-04-24
2001-04-24,Brindle,Lab X Pit,F/S,Lost,Rosie,2001-04-24
2001-04-21,Brown & Black & White,Border Collie X,M/N,Lost,Bandit,2001-04-24
2001-04-25,White,Samoyed X Small,F,Matched,No Name,2001-04-25
2001-04-25,Taupe,Weimaraner,F,Matched,Lou-lou,2001-04-25
2001-04-25,Black & Tan,Rott X Pit,M,Lost,Clide,2001-04-25
2001-04-24,White,Maltese,M,Lost,Doodoo,2001-04-26
2001-04-26,Black & Tan & White,Small Dog-med Length Fur,M/N,Found,No Name,2001-04-26
2001-04-26,Black & White,Lab X Collie,F/S,Matched,Lexus,2001-04-26
2001-04-26,White,Bulldog,F,Matched,No Name,2001-04-26
2001-04-26,White,Bulldog,F,Matched,Sally,2001-04-26
2001-04-26,Brown & White,Cav Kng Ch Spaniel,M/N,Lost,Poco,2001-04-26
2001-04-26,Tan & White,Pitt Bull,F,Matched,Thelma,2001-04-26
2001-04-26,Black & Tan,Shep X Rotty,F,Found,No Name,2001-04-26
2001-04-27,Red & White,Siberian Husky,M/N,Matched,Trouble,2001-04-27
2001-04-27,Black & White,Siberian Husky,M,Lost,Eskill,2001-04-27
2001-04-27,Black & Tan,Rottweiler,M,Lost,Rocky,2001-04-27
2001-04-27,Red,Pomeranian X Spitz,M/N,Lost,Punky,2001-04-27
2001-04-27,Black & Brown Face,Small Dog,M/N,Matched,No Name,2001-04-27
2001-04-29,Black,Lab X Rott,M,Matched,Rowan,2001-04-29
2001-04-29,Black & Tan,Shep,M,Found,Rooster,2001-04-29
2001-04-29,Beige,Pomeranian X,F,Lost,Kaos,2001-04-29
2001-04-26,Brown,Mastiff X Rottweiler,M,Lost,Clyde,2001-04-29
2001-04-30,Gold,Retreiver,F,Matched,No Name,2001-04-30
2001-04-10,Black & Tan,Rotty,M,Lost,Stuart,2001-04-30
2001-04-30,Golden,Golden Retriever,F,Matched,No Name,2001-04-30
2001-04-30,Black & Tan & White,Husky X,F,Lost,Alysha,2001-04-30
2001-04-26,Black & White,Lhaso Apso,F/S,Lost,Petunia,2001-04-30
2001-04-30,Black & Tan,Rottweiler X,F,Lost,Kya,2001-04-30
2001-05-01,Black & Tan,Shep,M,Matched,Fabo,2001-05-01
2001-05-01,Black & Brown,Shep X,F/S,Lost,Georgia,2001-05-01
2001-05-02,Tan,Pitbull,M,Lost,Smokey,2001-05-02
2001-05-01,Black & White,Collie X,M/N,Lost,Tango,2001-05-02
2001-05-02,Black & White,Dalmation,M,Lost,Charley,2001-05-02
2001-05-02,White,Great Pyrenese,F,Matched,Cosmo,2001-05-02
2001-05-03,Red & White,Husky,M,Matched,Odin,2001-05-03
2001-05-01,Black & White,Border Collie X,M/N,Lost,Tango,2001-05-04
2001-05-04,Black,Boxer X,F,Matched,Chelsea,2001-05-04
2001-05-05,Tri,Beagle,M,Lost,Lucky,2001-05-05
2001-05-05,Grey & White,Husky X Malamute,F/S,Lost,Nikita,2001-05-05
2001-05-02,Black,Rotty X Doberman,M,Lost,Prianic,2001-05-05
2001-05-05,Honey Brown Black Brindle,Terripoo,M,Lost,Chomsky,2001-05-05
2001-05-05,Black & Tan,Shep X Rotty,M/N,Lost,Cujo,2001-05-05
2001-05-05,Tan,Shiba Inu,M,Found,No Name,2001-05-05
2001-05-05,Cream & Black,Lhaso Apso X,F,Found,No Name,2001-05-05
2001-05-06,Blonde,Pug,M/N,Lost,Romeo,2001-05-06
2001-05-06,Blonde,Pit Bull,F,Matched,No Name,2001-05-06
2001-05-06,White & Beige,Lhaso Apso,F,Found,No Name,2001-05-06
2001-05-06,Tri Colour,Border Collie X Shep,F/S,Lost,Georgie,2001-05-06
2001-05-07,Black & White,Border Collie X,F/S,Lost,Sadie,2001-05-07
2001-05-06,Black & Beige & White,Lhasa Apso,M,Matched,Pigeon,2001-05-07
2001-05-07,Brown,Rotty X,F/S,Lost,Luna,2001-05-07
2001-05-06,Black & Tan & White,Shep X Husky,M/N,Matched,Ash,2001-05-07
2001-05-06,Brown & Black & White,Shep X Wolf,M/N,Matched,No Name,2001-05-08
2001-05-08,Black & Brown,Rott X,M,Lost,Marley,2001-05-08
2001-05-07,Brown & White,Shih Tzu,M/N,Lost,Casey,2001-05-08
2001-05-08,White & Yellow,Lab,M,Matched,Owen,2001-05-08
2001-05-08,Black & Beige & White,Schnauzer,M/N,Lost,Micki,2001-05-08
2001-05-08,Blonde,Lab,F,Lost,Silence,2001-05-08
2001-05-09,Black & White,Poodle X,M,Matched,No Name,2001-05-09
2001-05-09,Red & Brown,Pomeranian,M/N,Lost,Parker,2001-05-09
2001-05-10,Cream,Toy Poodle,F/S,Lost,Ginji,2001-05-10
2001-05-10,Brown & White,Jr Terrier X,F,Lost,Moka,2001-05-11
2001-05-11,Black & White,Pitbull X,M,Matched,Chapter,2001-05-11
2001-05-11,Black,Spaniel X,M/N,Lost,Monty,2001-05-11
2001-05-11,White,Maltipoo,M/N,Lost,Willy,2001-05-11
2001-05-11,Red & White,Siberian Husky,M/N,Matched,Shamish,2001-05-11
2001-05-11,Black & White,Siberian Husky,M/N,Matched,Bear,2001-05-12
2001-05-12,Yellow,Lab,F,Lost,Stina,2001-05-12
2001-05-12,Black,Lab,M,Matched,Jackson,2001-05-12
2001-05-12,Black,Lab,M/N,Found,Loochie,2001-05-12
2001-05-12,,???,M/N,Lost,Bear,2001-05-12
2001-05-13,White,Chihuahua,F,Matched,Jamie,2001-05-13
2001-05-14,Black & Tan,Shep X,F,Found,Toby,2001-05-14
2001-05-15,Cream,Pekipoo,F,Lost,Popo,2001-05-15
2001-05-15,Black & Tan,Rotty X,F,Lost,Bodie,2001-05-16
2001-05-02,Tan & White,Pitbull X,M/N,Found,No Name,2001-05-16
2001-05-16,Black,Husky,F,Lost,Kiesha,2001-05-16
2001-05-17,Black,Tibetan Terrier,M/N,Matched,Java,2001-05-17
2001-05-17,Black & Tan,Rotty,M,Matched,Rocco,2001-05-17
2001-05-16,Tan,Pitbull,M/N,Matched,Zues,2001-05-17
2001-05-17,Blue,Heeler,M,Matched,Nike,2001-05-18
2001-05-17,Tri,Yorkie,M,Matched,Rocco,2001-05-18
2001-05-16,Black & Tan,Rotty,F,Found,No Name,2001-05-18
2001-05-18,Black & White,Rotty X Husky,M/N,Lost,Chopper,2001-05-18
2001-05-18,White,Maltipoo,M/N,Matched,Eddie,2001-05-18
2001-05-18,Black & White,Shep X Lab,M,Lost,No Name,2001-05-18
2001-05-19,Sable & White,Sheltie,F,Lost,Sara,2001-05-19
2001-05-19,Black & White,Lab X,M,Lost,No Name,2001-05-19
2001-05-20,Yellow,Golden Retriever,F/S,Lost,Natasha,2001-05-20
2001-05-20,Black,Ret X Spaniel,F/S,Lost,Lizzy,2001-05-20
2001-05-21,Grey & White,Poodle X,F,Found,No Name,2001-05-21
2001-05-22,Grey & White,Maltipoo,M,Found,No Name,2001-05-22
2001-05-22,Mostly Black With Tan & White,Rott X Collie,M,Lost,Petruchio (truke),2001-05-22
2001-05-22,Black & White,Jack Russell Terrier,F/S,Lost,Kelly,2001-05-22
2001-05-22,Black & Tan,Shepherd,F,Lost,Tatem,2001-05-22
2001-05-22,Black,Toy Pom,F,Matched,No Name,2001-05-22
2001-05-22,Black W White,Lab X Span X Corgi,M/N,Lost,Jockey,2001-05-22
2001-05-22,Grey & White,Jack Russell Terrier,F,Lost,Macie Gray,2001-05-23
2001-05-23,Tan & White,Sheltie,F,Lost,No Name,2001-05-23
2001-05-24,Blue,Budgie,,Found,No Name,2001-05-24
2001-05-24,Tan & White,Jack Russell,F,Lost,Alex,2001-05-24
2001-05-24,White,Jr Terrier,F,Lost,Alex,2001-05-24
2001-05-24,Black & Tan,Rotty,F,Lost,Rage,2001-05-25
2001-05-25,Black & White,Border Collie X,F/S,Lost,Sadie,2001-05-25
2001-05-25,Golden,Retriever,M,Matched,No Name,2001-05-25
2001-05-25,Black,Pom,F,Matched,Kilo,2001-05-25
2001-05-25,Black & Tan,Spaniel X Terrier,F/S,Lost,Roxie,2001-05-25
2001-05-25,Black & White,Siberian Husky,M,Lost,Esko,2001-05-26
2001-05-26,Black,Coyote X Lab,M,Matched,Shadow,2001-05-26
2001-05-26,Black & Grey & White,Terrier X Yorkie,M/N,Matched,Oddie,2001-05-26
2001-05-27,Golden,Retriever,M,Lost,Tanner,2001-05-27
2001-05-26,Grey,Maltipoo,M,Matched,No Name,2001-05-27
2001-05-27,Black,Greyhound X Shepherd,F,Found,No Name,2001-05-27
2001-05-27,Tan & Orange,Pomeranian,M/N,Lost,Cody,2001-05-27
2001-05-27,Grey & White,Shih Tzu,M,Lost,Bobo,2001-05-27
2001-05-27,Brown & White,Fox Terrier,M,Matched,No Name,2001-05-27
2001-05-28,Brindle,Staff Bull Terrier,F,Lost,No Name,2001-05-28
2001-05-28,Black & Tan & Grey,Yorkie,M,Matched,No Name,2001-05-28
2001-05-28,Tan & White,Husky X,M/N,Lost,Wylie,2001-05-28
2001-05-28,Brown & White,Boxer,M,Found,No Name,2001-05-28
2001-05-29,Golden,Shep X,F,Matched,Ginger,2001-05-29
2001-05-30,Black & Tan,Shep X,F,Lost,Kayva,2001-05-30
2001-05-30,White,Maltese,M,Lost,Marco,2001-05-30
2001-05-30,Apricot,Poodle,F/S,Lost,Sasha,2001-05-30
2001-05-31,Golden,Retriever,M,Matched,Tanner,2001-05-31
2001-05-31,Black & Tan,Shep,M/N,Matched,Spike,2001-05-31
2001-06-01,Black,Collie X,M,Matched,No Name,2001-06-01
2001-06-01,Blonde,Lab X? Floppy Ears,F,Matched,No Name,2001-06-01
2001-06-01,Black & White,Husky,M,Lost,Esko,2001-06-01
2001-06-01,White,Terripoo,M/N,Lost,Pebbles,2001-06-01
2001-06-02,Beige,Cocker Spaniel,F,Matched,No Name,2001-06-02
2001-06-02,Black,Collie X,F,Found,Kiara,2001-06-02
2001-06-02,Brown & Tan,Shep X,M,Found,No Name,2001-06-02
2001-06-02,Black,Shep X,F/S,Lost,Pepper,2001-06-02
2001-06-02,Black & Tan,Yorkie,F/S,Lost,Chloe,2001-06-02
2001-06-03,Black & Tan,Shep,M,Lost,Roka,2001-06-03
2001-06-03,Golden,Lab X,F,Found,No Name,2001-06-03
2001-06-04,Brown & Black & White,Pitbull,M/N,Found,No Name,2001-06-04
2001-06-04,Brown & Gold,Shiba Inu,M/N,Found,No Name,2001-06-04
2001-06-04,Colourful,Peacock,M/N,Found,No Name,2001-06-04
2001-06-04,Brown,Choco Lab,F/S,Lost,Emma,2001-06-04
2001-06-04,Black,Lab X Akita,F,Lost,No Name,2001-06-04
2001-06-05,Red & White,Siberian Husky,M,Lost,Trouble,2001-06-05
2001-06-05,Black,Terrier X,M,Matched,Casper,2001-06-05
2001-06-05,Black & White,Husky,F,Matched,Minnie,2001-06-05
2001-06-06,Black & Tan,Husky X,M/N,Lost,Smogley,2001-06-06
2001-06-07,Black & Tan & Grey,Large Shaggy Terrier,M,Lost,Bear,2001-06-07
2001-06-08,Biege,Pom,M,Lost,Meko,2001-06-08
2001-06-08,Black,Lab,M,Matched,Jackson,2001-06-08
2001-06-08,Black & Tan,Rotty-3 Pups,M,Matched,No Name,2001-06-08
2001-06-08,Grey & Brown,Yorkie,M/N,Lost,Ratty,2001-06-08
2001-06-08,Black & Tan,Doby,M/N,Matched,Luke,2001-06-08
2001-06-08,Red,Chow X,F/S,Lost,Sammy,2001-06-08
2001-06-08,Black,Cockapoo,M/N,Lost,Fergus,2001-06-08
2001-06-08,White,Toy Poodle,M/N,Matched,Chi Chi,2001-06-08
2001-06-09,Beige,Shiba Inu X,M/N,Lost,Bruce,2001-06-09
2001-06-10,Lite Beige,Chihuahua,F,Lost,Chi Chi,2001-06-10
2001-06-10,Orange,Pom,M,Found,Teddy,2001-06-10
2001-06-11,Black & White,Shih Tzu,F,Matched,No Name,2001-06-11
2001-06-11,Black & Tan,Rottweiller,F,Found,No Name,2001-06-11
2001-06-12,Black & Tan,Rottweiler,M,Found,No Name,2001-06-12
2001-06-12,Tri Colour,Beagle,M,Matched,Dakota,2001-06-12
2001-06-12,White,Jack Russell,F/S,Matched,Madison,2001-06-12
2001-06-12,Black & Tan,Rott X Shep X Greyhound,F,Lost,Mildred,2001-06-12
2001-06-13,Reddish,Chow X Newfie,M,Lost,No Name,2001-06-13
2001-06-13,Orange,Manx Cat,M,Lost,No Name,2001-06-13
2001-06-14,White,American Eskimo,F/S,Lost,Sasha,2001-06-14
2001-06-14,Black & Tan,Shep X,F/S,Lost,Bella,2001-06-14
2001-06-14,Brown,Ridgeback X Staffie,F,Lost,Sage,2001-06-14
2001-06-15,Black,Lab X Pit,M/N,Lost,Duke,2001-06-15
2001-06-16,Dark Brown With White Chest,Lab X,M/N,Matched,No Name,2001-06-16
2001-06-16,Black,Lab X Staff,M,Matched,Jake,2001-06-16
2001-06-17,Blonde,Cocker Span,M/N,Matched,Cosmo,2001-06-17
2001-06-18,Brindle,Pitbull,F,Matched,No Name,2001-06-18
2001-06-18,Tan,Pitbull,M,Matched,No Name,2001-06-18
2001-06-15,White & Blue Merle,Blue Heeler,M/N,Lost,Sneak,2001-06-18
2001-06-18,Black & Beige & White,Shih Tzu,M/N,Matched,George,2001-06-18
2001-06-18,Brown & White,Springer Spaniel,F/S,Matched,Carly,2001-06-18
2001-06-18,Tan & Black Tips,Chihuahua,F/S,Matched,Wendy,2001-06-18
2001-06-19,Black,Lab,M/N,Matched,Stetson,2001-06-19
2001-06-19,Black & Blonde,Shep X,M/N,Found,No Name,2001-06-19
2001-06-20,Brown & White,Lab X Terrier,M/N,Matched,No Name,2001-06-20
2001-06-22,Black & Gold,Rottweiler X,F,Found,No Name,2001-06-22
2001-06-22,Black & Tan,Shep,M,Matched,Bert,2001-06-23
2001-06-23,Black,Lab,F/S,Matched,Shooter,2001-06-23
2001-06-24,Tan,Golden Retriever,F/S,Matched,Jessie,2001-06-24
2001-06-25,Dark Grey,Pom X Poo,F/S,Matched,Punky,2001-06-25
2001-06-24,Dark Brown Brindle,Lab X Mutt,M/N,Matched,Dingo,2001-06-25
2001-06-25,Black & Tan,Doberman,F/S,Lost,Lexie,2001-06-25
2001-06-22,Black & Beige & White,Silkipoo,M/N,Matched,Nikki,2001-06-25
2001-06-26,Tan,Larger Breed (pup),M,Matched,No Name,2001-06-26
2001-06-22,Grey & White,Husky X,M,Matched,Hungry,2001-06-26
2001-06-26,Black & White,Border Collie X Sheepdog,M,Matched,Nicki,2001-06-26
2001-06-18,Black,Lab,M,Lost,Jackson,2001-06-26
2001-06-27,Black & Tan & White,Husky X,M/N,Matched,Luke,2001-06-27
2001-06-25,Black,Cockapoo,F/S,Lost,Trina,2001-06-27
2001-06-27,Grey & White,Siberian Husky,F,Matched,Luna,2001-06-27
2001-06-28,Black & White,Shep X Husky,M/N,Matched,Mowgli -(rudolph?),2001-06-28
2001-06-28,Black & White,Shep X Husky,M/N,Matched,No Name,2001-06-28
2001-06-28,Black & White,Siberian Husky,M,Matched,Esko,2001-06-28
2001-06-28,Black,English Lab,M,Matched,Tug,2001-06-29
2001-06-22,Black & Tan,Dachsund,M/N,Lost,Mattie,2001-06-29
2001-06-28,Black & Tan,Min Pincher,M,Lost,Nike,2001-06-29
2001-06-29,White,Samoyed,M,Lost,Kobe,2001-06-29
2001-06-29,Black,Lab,F/S,Matched,Moonshine,2001-06-29
2001-06-29,White,Bichon X Shih,M,Lost,Murphy,2001-06-30
2001-06-30,Salt & Pepper,Shnauzer,M/N,Matched,Bartlett,2001-06-30
2001-06-30,Black & Tan,Shep,M/N,Matched,Max,2001-06-30
2001-06-30,White,Bichon Frise,F,Matched,No Name,2001-06-30
2001-06-30,Chocolate Brown,Lab X Pit,M/N,Found,No Name,2001-07-01
2001-07-01,Black,Lab X,M/N,Matched,Jack,2001-07-01
2001-06-30,Black & Brindle,Shep X Wolf,M/N,Matched,Mischeif,2001-07-01
2001-07-01,Black Grey Gold & White,Shep X,M,Matched,Sumo,2001-07-01
2001-07-01,Red & White,Siberian Husky,M,Lost,Odin,2001-07-01
2001-07-02,Black & White,Jack Russell,F/S,Matched,Daisy,2001-07-02
2001-07-03,Brown & White,Maltese X Corgi,F,Matched,Soca,2001-07-03
2001-07-03,Tri,Sheltie X,F/S,Matched,Shade,2001-07-03
2001-07-03,Chocolate,Am Staff,F/S,Lost,Bristol,2001-07-03
2001-07-03,Black & Tan,Rottweiler Puppy,F,Matched,No Name,2001-07-03
2001-07-03,Tan,Chi X,M,Matched,Tito,2001-07-03
2001-07-03,Black & Mahogany,Rottweiler,F/S,Lost,Sadie,2001-07-03
2001-07-03,Tri Colour,Jack Russell,M,Matched,Teddy,2001-07-03
2001-07-04,Red,Irish Setter,M,Matched,No Name,2001-07-04
2001-07-03,Black & Tan,Airedale,F/S,Lost,Delilah,2001-07-04
2001-07-04,White & Beige,Maltipoo,F/S,Matched,No Name,2001-07-04
2001-04-03,White/brown/black,Coonhound Puppy,M,Lost,Jethro,2001-07-04
2001-07-04,Brindle,Lab X,M,Matched,Austin,2001-07-04
2001-07-05,Black,Pit X,M/N,Matched,Finny,2001-07-05
2001-07-05,Chocolate White Chest And Paws,Lab X,M/N,Matched,Phineas,2001-07-05
2001-07-05,White,Carin Terrier,F/S,Matched,Maggie,2001-07-05
2001-07-05,Black & Tan,Shep X Husky,M/N,Matched,Mowgli,2001-07-06
2001-07-06,Black,Lab X Bernard  (pup),F,Matched,Zoe,2001-07-06
2001-07-06,Black,Cockapoo,M/N,Matched,Jet,2001-07-06
2001-07-05,Grey & White,Siberian Husky,F,Lost,Kodak,2001-07-06
2001-07-07,Black,Lab,M,Lost,No Name,2001-07-07
2001-07-07,Blue & Black,Chow X,F,Lost,Sushi,2001-07-07
2001-07-07,Beige,Cocker Spaniel,F,Matched,No Name,2001-07-07
2001-07-06,Tri,Yorkie,M/N,Lost,Teddy,2001-07-08
2001-07-08,Tri,Beagle,F,Matched,Pickles,2001-07-08
2001-07-09,White With Black Speckles,Pointer X Staff Terrier,M,Matched,Bailey,2001-07-09
2001-07-09,White,Cockapoo,M,Matched,No Name,2001-07-09
2001-07-09,White,Min Poodle,M,Matched,Oliver,2001-07-09
2001-07-09,Grey & White,Lhasa X Poo,M/N,Matched,Hercules,2001-07-09
2001-07-09,Tan,Min Pin X,F/S,Matched,Hula,2001-07-09
2001-07-10,Brown & White,Jack Russell Terrier,M,Matched,Rocko,2001-07-10
2001-07-10,Black & White,Terrier,M,Lost,Kilo,2001-07-11
2001-07-11,Black With White Muzzle,Lab X,M,Matched,Thor,2001-07-11
2001-07-11,Black Brindle & White Chest,Pit X,M,Matched,No Name,2001-07-11
2001-07-10,Brown,???,M/N,Lost,Bud,2001-07-11
2001-07-11,White With Black & Gold,Lhasa Apso,F,Lost,No Name,2001-07-11
2001-07-11,Blonde,Golden Ret X Labrador,M,Lost,Rudy,2001-07-11
2001-07-11,Brown & White,Eng Setter,M/N,Matched,No Name,2001-07-11
2001-07-12,Beige,Wheaton Terrier,F,Matched,No Name,2001-07-12
2001-07-12,Black,Lab,M/N,Matched,Trigger,2001-07-12
2001-07-12,Brown & White,German Shep X,M/N,Matched,Max,2001-07-12
2001-07-12,Black & Tan,Shep X,M/N,Matched,Max,2001-07-12
2001-07-12,Tan,Rott X Chow,F/S,Lost,Megora,2001-07-12
2001-07-11,Black & Grey & White,Shih Tzu,F,Lost,Charlie,2001-07-12
2001-07-13,White,Jindo,M,Matched,Bong,2001-07-13
2001-07-13,Red & Brown,Chow,M,Lost,Fur,2001-07-13
2001-07-13,Black & Tan,Rotty,M,Matched,Lucky,2001-07-13
2001-06-10,Black & Brown,Shep X Chow,F,Lost,Brodie,2001-07-13
2001-07-14,Black & Tan,Shep,M/N,Lost,Max,2001-07-14
2001-07-14,White,Malti X Corgi,F,Lost,Soca,2001-07-14
2001-07-14,White,Maltese,F,Lost,Choy,2001-07-15
2001-07-16,Black & Tan & Grey,Lab X Shepherd,M,Lost,Sumo,2001-07-16
2001-07-16,White,Bichon X Min Poo,M,Lost,Taz,2001-07-16
2001-07-17,White(trimmed Coat),Samoyed,F/S,Matched,Dashka,2001-07-17
2001-07-17,Brown & Black & White,Kelpi X B. Collie,M,Lost,Dude,2001-07-17
2001-07-17,Brown,Bull Mastiff,F,Matched,No Name,2001-07-17
2001-07-18,Tri Colour,Basset Hound,F,Matched,Lucy,2001-07-18
2001-07-17,Black & Tan,Shepherd,M/N,Lost,Max,2001-07-18
2001-07-19,Brown & Black & White,Beagle,M/N,Lost,Pepper,2001-07-19
2001-07-19,Black & Tan,Yorkie,F,Found,No Name,2001-07-19
2001-07-19,Black & White,Lab X,F,Matched,Jessie,2001-07-19
2001-07-19,Beige Brindle,Carin Terrier,M/N,Matched,Duffus,2001-07-20
2001-07-20,Golden,Retriever,M,Matched,No Name,2001-07-20
2001-07-20,Beige & Black,Shep X Husky,,Found,Jesse,2001-07-20
2001-07-21,Black,Lab X,F/S,Matched,Shiro,2001-07-21
2001-07-21,Beige,Whippet,M/N,Matched,Norman,2001-07-22
2001-07-22,Brown & Black & White,Akita X Shep,M/N,Lost,Parker,2001-07-22
2001-07-22,Brownish Red,Shiba Inu,F/S,Lost,Gim Gim,2001-07-22
2001-07-23,Golden,Lab Retriever,M,Matched,No Name,2001-07-23
2001-07-22,Tan & White,Cairn Terrier,M/N,Lost,Toffee,2001-07-23
2001-07-23,Black & Tan,Shepherd,M,Lost,Dorbo,2001-07-23
2001-07-24,Brown,Sharpei,F/S,Matched,Smaranda,2001-07-24
2001-07-24,Brown Merle,Blue Heeler X Shep,F/S,Found,Osi,2001-07-24
2001-07-24,Black & White,Dalmatian,M,Matched,Charlie,2001-07-24
2001-07-25,Black & Tan,Shepherd,F,Matched,Akedia,2001-07-25
2001-07-25,Wheaton,Shep X Terrier,F,Lost,Faith,2001-07-25
2001-07-24,Black & Tan,Shepherd,F/S,Matched,Sheppy,2001-07-25
2001-07-25,Brown & Black & White,Sheepdog,F/S,Matched,Charm,2001-07-25
2001-07-25,Blonde,Cocker Spaniel,F,Lost,Tuffy,2001-07-25
2001-07-24,Black,Border Collie X,M,Lost,Koo Koo,2001-07-25
2001-07-25,White,Poodle X,M,Lost,Shira,2001-07-25
2001-07-25,Tan,Cocker Spaniel,F/S,Found,Marilyn,2001-07-26
2001-07-26,Red,King Charles Spaniel,F/S,Lost,Cheri,2001-07-26
2001-07-26,White,Jr Terrier,F/S,Matched,Madison,2001-07-26
2001-07-26,Black & Tan,Rotty,F/S,Lost,Keisha,2001-07-26
2001-07-27,Brown,Staffie X,F,Found,No Name,2001-07-27
2001-07-27,Reddish,Retriever,F,Found,No Name,2001-07-27
2001-07-27,Black & Tan,Pit X Shep,F/S,Lost,Rosie,2001-07-27
2001-07-27,Black & Tan,Rotty X Shep X Lab,M/N,Matched,Buddy,2001-07-27
2001-07-27,Black & Tan,Shiba Inu,M,Matched,Max,2001-07-28
2001-07-28,Tan,Chow X Husky,M/N,Lost,Knight,2001-07-28
2001-07-27,Chocolate Brown,Shep X,M,Lost,Shalka,2001-07-28
2001-07-27,Black & White,Lab X,F,Lost,Jessie,2001-07-28
2001-07-28,Brindle,Pitbull,M,Matched,Zeus,2001-07-28
2001-07-30,Black & Brown,Shep X Collie,F/S,Lost,Sheena,2001-07-30
2001-07-30,Tan W/ Dark Cicles On Eye,Ridgeback X Staffie,F,Lost,Cleo,2001-07-30
2001-07-31,Black,Cocker Spaniel,,Matched,No Name,2001-07-31
2001-07-31,Black & Brown,Dashound,F,Found,No Name,2001-07-31
2001-08-01,Tan,Sharpei X,M/N,Lost,Tyson,2001-08-01
2001-06-11,Black,Newfoundland Look Alike,M/N,Lost,Kuma,2001-08-01
2001-07-30,Grey & Brown,Chow X Husky,F,Lost,Maggie,2001-08-01
2001-08-02,Black & Tan & White,Spaniel X Weiner,M/N,Matched,Ritchie,2001-08-02
