Date,Color,Breed,Sex,State,Name,DateCreated
2015-02-21,Cream,Pit Bull,F/S,Lost,Angel,2015-02-21
2015-02-22,Black,French Bulldog,M,Matched,Dexter,2015-02-22
2015-02-22,Brown,Brown Tabby,M/N,Lost,Did Not Provide Name In Lagan,2015-02-22
2015-02-22,White,Shiba Inu,M,Lost,Kang Pang,2015-02-22
2015-02-23,Brown,Border Terrier,F,Lost,Naia,2015-02-23
2015-02-23,Black,Shepherd X,F,Lost,Chica,2015-02-23
2015-02-24,Grey,Tibetan Mastiff,M,Lost,Mishka,2015-02-24
2015-02-24,White,Shiba Inu,M,Lost,Pong Pong,2015-02-24
2015-02-24,White,Pit X,F,Lost,Zara,2015-02-24
2015-02-24,Black,,F,Lost,Lady,2015-02-24
2015-02-26,Black,Siamese X,M,Lost,Spudsley,2015-02-26
2015-02-26,White,Shih Tzu,M,Lost,Chivas,2015-02-26
2015-02-26,Brown,Great Dane,M/N,Lost,Rudy,2015-02-26
2015-02-27,Black,Lab X,M,Lost,Winston The Great,2015-02-27
2015-03-01,White,Yorkie X,M/N,Matched,Buddy,2015-03-01
2015-03-01,Brown,Beagle,M,Lost,Reggie,2015-03-01
2015-03-01,Black,Border Collie,F,Lost,Aspen,2015-03-01
2015-03-02,Grey,American Shorthair,F,Lost,Amy,2015-03-02
2015-03-03,Red,Shiba Inu,M,Lost,Keito,2015-03-03
2015-03-03,Brown,Germ. Shepherd,X,Lost,No Name,2015-03-03
2015-03-04,Grey,Long Haired Tuxedo,M,Lost,Sasha,2015-03-04
2015-03-07,Brown,Shetland Sheepdog,M,Lost,Ash,2015-03-07
2015-03-07,Tan,Corgi,F/S,Lost,Maui,2015-03-07
2015-03-07,Black,Long Haired Domestic Cat,M,Lost,Whiskers,2015-03-07
2015-03-08,Tan,Shiba Inu,F,Lost,No Name,2015-03-08
2015-03-09,Black,Dsh,M,Lost,No Name,2015-03-09
2015-03-09,Black,Med. Haired Cat,M,Lost,Hendrick,2015-03-09
2015-03-09,White,Maltese,F,Lost,Eda,2015-03-09
2015-03-10,White,Havanese,M,Matched,Marlowe,2015-03-10
2015-03-10,White,Pit Bull,M,Matched,No Name,2015-03-10
2015-03-10,Black,Germ. Shepherd,M,Lost,Stax,2015-03-10
2015-03-11,White,Wheaten Terrier,F,Lost,Daphne,2015-03-11
2015-03-13,Golden,Standard Poodle,M,Matched,No Name,2015-03-13
2015-03-13,White,Toy Poodle,M/N,Lost,Yoyo,2015-03-13
2015-03-14,Red,Greyhound,M,Lost,Captain,2015-03-14
2015-03-14,Black,Husky X,M/N,Lost,Buddy,2015-03-14
2015-03-16,Cream,Husky,F/S,Matched,Taiga,2015-03-16
2015-03-16,Tan,Pekingese X,F,Matched,Lola,2015-03-16
2015-03-16,Brown,Chihuahua,M,Matched,Chewy,2015-03-16
2015-03-16,White,Jack Russell Terrier,M,Lost,Donny,2015-03-16
2015-03-17,Black,,F,Lost,Princess,2015-03-17
2015-03-17,Black,.Unknown Breed Mix,M,Lost,Mort,2015-03-17
2015-03-17,Brown,Pomeranian,M,Lost,No Name,2015-03-17
2015-03-17,White,Poodle X,F,Lost,Tia,2015-03-17
2015-03-17,Grey,Russian Blue,M,Lost,Shady,2015-03-17
2015-03-19,Black,Husky,F,Lost,Jasper,2015-03-19
2015-03-20,Brindle,Lab X,M,Lost,Buck,2015-03-20
2015-03-20,Black,Border Collie,M,Lost,Jack,2015-03-20
2015-03-21,White,Miniature Schnauzer,M,Matched,Riki,2015-03-21
2015-03-22,Brown,Yorkshire Terrier,F,Lost,Coco,2015-03-22
2015-03-22,,Pug,,Lost,Mikey,2015-03-22
2015-03-23,White,Labradoodle,M,Lost,Bisou,2015-03-23
2015-03-23,Black,,,Lost,No Name,2015-03-23
2015-03-24,Red,Black Mouth Cur,M,Lost,Hina,2015-03-24
2015-03-24,Grey,Tabby,F,Lost,Liza,2015-03-24
2015-03-25,Grey,Husky,M,Matched,Chito,2015-03-25
2015-03-27,Brown,Dsh,M,Lost,Onion,2015-03-27
2015-03-27,Tan,Pit X,M,Matched,Rocky,2015-03-27
2015-03-27,Cream,Shih Tzu,,Lost,Rum,2015-03-27
2015-03-28,Black,Labrador,M,Lost,Babba,2015-03-28
2015-03-28,White,Yorkie X,F,Lost,Molly,2015-03-28
2015-03-28,Brindle,Boston Terrier,,Lost,Ivan,2015-03-28
2015-03-29,Brown,Cat,,Lost,Pickle,2015-03-29
2015-03-29,Black,Basenji,F/S,Lost,Sam Or Samantha,2015-03-29
2015-03-30,Black,Border Collie,,Lost,Boomer,2015-03-30
2015-03-31,Black,Dsh,F,Lost,Kira,2015-03-31
2015-03-31,Black,Dsh,M,Lost,Chocolate,2015-03-31
2015-03-31,Grey,Miniature Schnauzer,F,Lost,Wasabi,2015-03-31
2015-04-01,Black,Labrador,M,Lost,Jetty,2015-04-01
2015-04-02,Grey,.Unknown Breed Mix,M,Lost,No Name,2015-04-02
2015-04-02,Grey,Tabby,F/S,Lost,Bug,2015-04-02
2015-04-04,Grey,Pit Bull,M,Lost,Rocky,2015-04-04
2015-04-04,Black,Tabby,M,Matched,Alfie,2015-04-04
